date,pm25_ug_m3
2021-01-01,3
2021-01-02,4
2021-01-03,5
2021-01-04,5
2021-01-05,12
2021-01-06,8
2021-01-07,7
2021-01-08,6
2021-01-09,4
2021-01-10,6
2021-01-19,17
2021-01-20,16
2021-01-22,3
2021-01-23,3
2021-01-24,3
2021-01-25,3
2021-01-26,5
2021-01-27,9
2021-01-28,8
2021-01-29,7
2021-01-30,3
2021-01-31,4
2021-02-01,4
2021-02-02,4
2021-02-03,5
2021-02-04,8
2021-02-05,12
2021-02-06,7
2021-02-07,3
2021-02-08,2
2021-02-09,2
2021-02-10,4
2021-02-11,6
2021-02-12,5
2021-02-13,6
2021-02-14,7
2021-02-15,7
2021-02-16,12
2021-02-17,13
2021-02-18,23
2021-02-19,21
2021-02-20,13
2021-02-21,17
2021-02-22,2
2021-02-23,5
2021-02-24,12
2021-02-25,13
2021-02-26,13
2021-02-27,11
2021-02-28,11
2021-03-01,13
2021-03-02,12
2021-03-03,21
2021-03-04,24
2021-03-05,21
2021-03-06,15
2021-03-07,10
2021-03-08,9
2021-03-09,7
2021-03-10,10
2021-03-11,9
2021-03-12,6
2021-03-13,6
2021-03-14,5
2021-03-15,5
2021-03-16,4
2021-03-17,2
2021-03-18,4
2021-03-19,3
2021-03-20,2
2021-03-21,4
2021-03-22,8
2021-03-23,7
2021-03-24,8
2021-03-25,11
2021-03-26,10
2021-03-27,11
2021-03-28,10
2021-03-29,7
2021-03-30,8
2021-03-31,8
2021-04-01,8
2021-04-02,11
2021-04-03,10
2021-04-04,10
2021-04-05,8
2021-04-06,8
2021-04-07,4
2021-04-08,6
2021-04-09,8
2021-04-10,10
2021-04-11,6
2021-04-12,4
2021-04-13,7
2021-04-14,9
2021-04-15,9
2021-04-17,7
2021-04-18,7
2021-04-19,8
2021-04-20,10
2021-04-21,6
2021-04-22,9
2021-04-23,5
2021-04-24,8
2021-04-25,7
2021-04-26,14
2021-04-29,8
2021-04-30,7
2021-05-01,7
2021-05-02,5
2021-05-03,8
2021-05-04,9
2021-05-06,9
2021-05-07,9
2021-05-08,10
2021-05-09,11
2021-05-10,4
2021-05-11,3
2021-05-12,4
2021-05-13,7
2021-05-14,6
2021-05-17,4
2021-05-18,6
2021-05-19,4
2021-05-22,3
2021-05-23,5
2021-05-24,4
